,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Bin 18,Bin 19,Bin 20,Bin 21,Bin 22,Bin 23,Bin 24,Bin 25,Start
Bin 1,0.0,6.759399999999999,3.1193,8.402899999999999,13.215,11.3377,6.4191,12.705200000000001,19.8577,14.8007,16.6535,17.289099999999998,10.1592,19.581799999999998,14.6041,11.0319,18.9417,14.4118,16.307299999999998,20.5751,16.124200000000002,18.9761,18.6569,21.4872,21.6945,10.422799999999999
Bin 2,6.1858,0.0,8.5183,9.690299999999999,6.5315,10.2419,7.7063999999999995,6.0217,13.1742,8.1172,9.97,10.6056,3.6053,12.898200000000001,7.9206,4.3484,12.2582,7.7283,9.6238,13.8916,9.440700000000001,12.2926,11.9734,14.803700000000001,15.011,3.7393
Bin 3,2.4739,3.8026999999999997,0.0,5.3357,10.258299999999998,8.2704,3.3518000000000003,9.7485,16.901,11.844,13.6968,14.3324,7.2025,16.6251,11.6474,8.0752,15.985,11.4551,13.3506,17.6184,13.1675,16.0194,15.7002,18.5305,18.7378,7.4661
Bin 4,7.7505,9.0793,5.506399999999999,0.0,6.1212,2.9347,2.1738000000000004,11.4393,10.8293,13.534799999999999,10.559299999999999,12.8814,12.4791,13.3639,13.3382,8.3101,16.7363,12.2064,15.0414,15.479299999999999,14.8584,17.7102,17.391,20.2213,19.036099999999998,9.3041
Bin 5,12.553600000000001,5.7868,11.5406,6.1693999999999996,0.0,3.7105,8.2079,5.3181,11.5312,7.4136999999999995,8.327,8.9626,9.955200000000001,11.2552,7.217,2.1889000000000003,10.6151,6.0851999999999995,8.920200000000001,12.2485,8.737200000000001,11.5891,11.2698,14.100100000000001,12.915,3.183
Bin 6,10.778,12.1068,8.5339,3.1628000000000003,3.1865,0.0,5.2013,8.5046,8.7111,10.600100000000001,8.4411,12.149,13.1417,11.245700000000001,10.4035,5.3754,13.8016,9.271700000000001,12.1067,13.3611,11.9236,14.7755,14.456299999999999,17.2866,16.101399999999998,6.3694
Bin 7,5.7481,7.076899999999999,3.504,2.1319,8.2531,5.0666,0.0,13.0227,12.961200000000002,15.1182,12.6912,15.0133,10.476700000000001,15.495700000000001,14.9216,10.442,19.2592,14.729299999999999,16.6248,17.6112,16.4418,19.293599999999998,18.974400000000003,21.8047,22.012,10.7403
Bin 8,12.2081,7.6562,14.5406,12.0357,5.8662,9.5767,8.9021,0.0,9.8901,2.0955,6.685899999999999,5.8884,9.6097,8.181,1.8989,3.8038000000000003,7.2528999999999995,4.444100000000001,3.6021,9.174299999999999,3.419,6.270899999999999,5.9517,8.782,8.9893,2.5368000000000004
Bin 9,18.3997,14.3774,16.1555,10.7844,11.6247,8.4382,12.822899999999999,10.4125,0.0,11.6242,3.5268,5.5568,16.331,3.2417,11.4276,9.3158,8.111600000000001,6.1015,13.130799999999999,5.3571,11.663200000000002,15.7996,11.8695,18.3107,10.4796,9.2581
Bin 10,13.8792,9.3273,16.2117,13.7068,7.5373,11.2478,10.5732,2.5549,11.768799999999999,0.0,8.5646,6.1295,11.2808,8.4221,1.8725999999999998,5.4749,5.440300000000001,6.1152,3.3952,8.5603,1.7527000000000001,6.2447,4.2853,8.755700000000001,7.8083,4.208
Bin 11,15.4427,10.8907,16.546599999999998,11.1755,8.1206,8.8293,13.214,6.925800000000001,3.236,8.1375,0.0,2.4354,12.844299999999999,4.2024,7.9409,5.8291,7.144699999999999,2.6148000000000002,9.6441,6.3179,8.1765,12.312899999999999,10.4991,14.824,9.5126,5.7714
Bin 12,16.1475,11.595600000000001,18.7672,13.3961,8.8254,11.0499,15.4346,6.8721000000000005,5.5569,6.5441,2.3105,0.0,13.5492,2.6736999999999997,7.8353,7.3101,3.7828000000000004,2.7831,9.5385,3.667,6.0355,12.2073,7.5406,14.718399999999999,6.1507,6.4763
Bin 13,9.3333,4.024,11.665799999999999,12.8378,9.8929,13.603399999999999,10.8539,9.3831,16.535700000000002,11.4787,13.3315,13.9671,0.0,16.259700000000002,11.282,7.7098,15.6196,11.0897,12.9852,17.253,12.802200000000001,15.6541,15.3348,18.1651,18.372400000000003,7.1007
Bin 14,21.343,15.0259,19.0988,13.7277,12.255700000000001,11.3815,15.766200000000001,8.9039,3.0023,8.575899999999999,4.1753,2.4589000000000003,16.9795,0.0,9.8671,9.9642,5.0138,5.4958,11.5703,2.2593,8.1314,14.2391,8.771600000000001,16.7502,7.3816999999999995,9.906600000000001
Bin 15,13.373,8.8211,15.7055,13.2006,7.0312,10.741700000000002,10.067,2.9883,12.1072,2.6128,8.903,7.7363,10.7746,10.0289,0.0,4.9687,7.624,6.6613,1.9935,11.022200000000002,3.9363,4.6623,6.469,7.1734,9.9326,3.7018
Bin 16,10.364600000000001,5.8126999999999995,12.6971,8.3525,2.1831,5.8935,5.4033999999999995,3.6656,10.178799999999999,5.7612,6.974600000000001,7.6102,7.7663,9.9028,5.5645,0.0,9.2627,4.7328,7.2677,10.8961,7.0847,9.9366,9.617299999999998,12.4476,11.5626,2.1551
Bin 17,17.9313,13.3794,20.2638,16.778599999999997,10.609200000000001,14.319700000000001,18.8171,7.0739,7.7175,4.9092,7.0163,3.2783,15.3329,4.8343,6.7818000000000005,9.0939,0.0,4.5668,7.8751999999999995,3.5104,3.4646999999999997,10.5305,4.105,13.0415,2.7584,8.2601
Bin 18,13.7725,9.220600000000001,16.105,12.6199,6.450399999999999,10.1609,14.6584,5.2557,6.0617,6.415100000000001,2.8575,2.8774,11.174100000000001,5.17,6.2707,4.9351,4.5299,0.0,7.9738999999999995,6.1633000000000004,5.9191,10.6428,8.241700000000002,13.153799999999999,6.8979,4.1013
Bin 19,15.4417,10.8898,17.7742,15.2693,9.0999,12.8104,12.1357,4.1175,13.2364,3.0951999999999997,10.032200000000001,8.8655,12.843399999999999,11.158100000000001,1.7349,7.0374,8.1736,7.7904,0.0,11.2935,4.4859,2.7964,5.308,5.3075,11.0618,5.7705
Bin 20,19.7122,15.160200000000001,21.228099999999998,15.857,12.3901,13.5107,17.8955,9.755799999999999,5.131600000000001,8.2772,6.3045,3.3108,17.113799999999998,2.2483,10.149799999999999,10.8747,3.368,6.3477,11.2433,0.0,6.8327,13.8985,7.473,16.409599999999998,5.736,10.040899999999999
Bin 21,15.5105,10.9585,17.8429,15.338,9.1686,12.879100000000001,12.2045,4.1861999999999995,11.319700000000001,1.6313,8.1156,5.6465,12.9121,7.9392,3.5039000000000002,7.1061000000000005,3.6877,5.6661,4.597300000000001,6.8077,0.0,7.2526,2.5326,9.7636,6.0556,5.8392
Bin 22,18.1486,13.5967,20.481099999999998,17.976200000000002,11.806700000000001,15.5172,14.842600000000001,6.8243,15.943200000000001,5.8021,12.7391,11.572299999999998,15.5502,13.865,4.4418,9.744299999999999,10.8804,10.4973,2.7068000000000003,14.000399999999999,7.192699999999999,0.0,8.014899999999999,2.6056,13.768600000000001,8.4774
Bin 23,17.8853,13.3333,20.2178,17.7129,11.5434,15.2539,14.5793,6.561,13.7164,4.0061,10.5122,8.0431,15.2869,10.335799999999999,5.8787,9.481,6.0843,8.0627,5.2677,9.2043,2.5616,7.923,0.0,10.434,4.7894,8.214
Bin 24,20.6595,16.1076,22.992,20.487099999999998,14.3177,18.028200000000002,17.3535,9.3353,18.4542,8.313,15.25,14.0833,18.0612,16.375899999999998,6.9527,12.2552,13.391399999999999,13.0082,5.2178,16.511400000000002,9.703700000000001,2.6055,10.5259,0.0,16.279600000000002,10.988299999999999
Bin 25,20.6308,16.0789,22.9633,18.9982,12.8288,16.5393,21.0368,9.3066,9.9806,7.2208000000000006,9.279399999999999,5.541399999999999,18.032400000000003,7.0973999999999995,9.0754,11.3135,2.2631,6.829899999999999,10.1869,5.4998000000000005,5.7764,12.8421,6.416600000000001,15.353200000000001,0.0,10.9596
Start,9.6712,5.1193,12.0037,9.5984,3.4289,7.139399999999999,6.3652,2.2824,9.3522,4.3778999999999995,6.148,6.7835,7.0728,9.0762,4.1813,1.3665,8.4361,3.9061999999999997,5.8845,10.0695,5.7014,8.5533,8.2341,11.0644,11.271700000000001,0.0
